periodo,proveedor,track_code,ambito,tipo_servicio,name,main_category,sub_category,category,alto,ancho,largo,peso_aforado,peso_fisico,peso_facturable,tarifa
202507,BoxFast,BFX44132301142X,2,24hs,"Dark Horse Plastic Bicycle Dual Tone Front & Rear Mudguard, Black-Grey",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,12,50,98,19.6,18.65,19.6,6750
202507,BoxFast,BFX44171510801X,3,48hs,SHIVEXIM Waterproof Rechargeable USB Charging Cycle Front LED Light Headlight (Grey),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,94,41,85,109.2,13.5,109.2,19550
202507,BoxFast,BFX48032181710X,2,48hs,"Probiker Leather Half Finger Motorcycle Gloves (Black, L), large",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,79,28,23,16.96,28.38,28.38,7200
202507,BoxFast,BFX42773016334X,3,72hs,Vega Off Road D/V Black Helmet-M,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,54,62,23,25.67,3.14,25.67,7450
202507,BoxFast,BFX45051971518X,2,48hs,TVS Kit Visor for Apache 4V BS4,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,53,27,7,3.34,26.41,26.41,7200
202507,BoxFast,BFX47809131791X,3,24hs,"AUTOPOWERZ® Universal for Bike Hazard Flasher, Waterproof 16 Patterns Flasher Relay for LED/Bulb Indicators (Flasher & Swi...",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,104,23,115,91.69,24.02,91.69,24400
202507,BoxFast,BFX40862027782X,3,48hs,MotoTrance ESSENTIALS Black Bike Cover - Royal Enfield Classic 350 | With Storage Bag | Water Resistant | Dust and Heat Pr...,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,12,70,55,15.4,12.65,15.4,6700
202507,BoxFast,BFX42918761950X,1,48hs,"Windshield Repair Kit, Car Windshield Window Glass Repair Tool for Quick Repair Windshield Chips and Cracks, Bulls-Eye, St...",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,84,48,81,108.86,4.67,108.86,12600
202507,BoxFast,BFX49375552251X,3,24hs,"Fluffy's Soft Faux Sheepskin Seat Belt Shoulder Pad for Car, Truck, Bus, Compatible with Adults Youth Kids (Black) - 2 Pac...",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,25,29,22,5.32,4.76,5.32,5600
202507,BoxFast,BFX43254128531X,1,48hs,"Le Gear - OG-004 Orgami Polygon Arm Sleeves (Grey, Free Size)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,13,70,31,9.4,27.66,27.66,5750
202507,BoxFast,BFX40741335190X,3,72hs,"SARTE Multi-Use Lock for Bike, Cycle, Helmet, Luggage, Anti Lock with Advance Cable Wire Lock | Unfinished (Multi)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,64,78,67,111.49,07.09,111.49,16300
202507,BoxFast,BFX49786299526X,3,72hs,"MUTMAIN Helmet Cover / Bag Keeps Your Helmet Safe from Dust, Rain and Scratches (HC-Black)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,118,27,29,30.8,26.24,30.8,8350
202507,BoxFast,BFX43318497831X,3,24hs,"Top Team Heavy Duty Multipurpose Use Cycle, Bike, Helmet Oil Rubbed Cable Lock with Keys (Color - May Vary). (DL)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,89,43,76,96.95,15.15,96.95,24400
202507,BoxFast,BFX49963687097X,3,48hs,Steelbird SBH-23 GT Plus Open Face ISI Certified Helmet with Inner Sun Shield,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,92,40,112,137.39,13.91,137.39,19550
202507,BoxFast,BFX48970991450X,2,72hs,NABAAT Universal Waterproof Dust Cycle / Bicycle Cover for Outdoor Rain/ Sun/ Snow/ Corrosion Protection (Black & Silver),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,87,57,40,66.12,18.62,66.12,13100
202507,BoxFast,BFX40273247110X,1,24hs,"TENDSY Men & Women Cotton Sports Arm Sleeves (Pack of 3 Pairs, Black, Blue and Grey)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,95,77,75,182.88,6.53,182.88,15750
202507,BoxFast,BFX41008662052X,3,48hs,"AASONS Universal Sprocket Chain Breaker Splitter Cutter Link Remover & Connecter Tool Cycle, Bike, ATV Roller Chain Repair...",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,63,45,111,104.9,12.91,104.9,19550
202507,BoxFast,BFX40241358999X,3,24hs,Vega Atom Red Helmet-M,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,17,65,108,39.78,28.16,39.78,13950
202507,BoxFast,BFX44406233344X,1,24hs,"Habsolite HB-MWB1 Mini Wrinkle All Purpose Safety Helmet with Quick Release Strap for Men & Women (Black, one size)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,101,49,5,8.25,7.22,8.25,3600
202507,BoxFast,BFX42621542358X,1,72hs,Vega Jet W/Visor Dull Black Helmet-L,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,55,72,17,22.44,27.66,27.66,4800
202507,BoxFast,BFX45304732154X,1,48hs,AUTOPOWERZ Pro X Steel Knee & Elbow Guard Flexible Breathable Adjustable Knee Shin Armor Protector for Bikers and Riders,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,61,33,119,79.85,29.83,79.85,12600
202507,BoxFast,BFX46659593282X,2,48hs,generic Nylon Push-Type Rivet Bumper Fender Clips for Honda 91503-sz3-003 (Black)- 30pcs,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,46,32,112,54.95,1.65,54.95,15750
202507,BoxFast,BFX42907717021X,2,24hs,MRF Nylogrip Zapper N4 90/100-10 53J Tubeless Scooter Tyre,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,23,35,42,11.27,15.99,15.99,6750
202507,BoxFast,BFX41356433981X,2,24hs,Raida RainPro Bike Cover for RE Himalayan (Navy Blue),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,112,80,65,194.13,5.24,194.13,19700
202507,BoxFast,BFX45407232862X,2,72hs,Lifelong Adjustable Cycling Helmet with Detachable Visor|Adjustable Light Weight Mountain Bike Cycle Helmet with Padding f...,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,95,50,71,112.42,18.69,112.42,13100
202507,BoxFast,BFX44994468773X,2,72hs,Steelbird SBA-21 GT Full Face Helmet with Clear Visor,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,78,14,82,29.85,29.69,29.85,6000
202507,BoxFast,BFX46225749616X,2,48hs,Automopix Bike Stickers Leh Ladakh Bike Decals Tool Box Helmet Stickers Full Sheet,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,49,5,92,7.51,26.92,26.92,7200
202507,BoxFast,BFX49132406502X,2,72hs,Mahabir Back Rest for Ola S1 Pro,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,99,42,48,66.53,27.75,66.53,13100
202507,BoxFast,BFX47106232441X,3,24hs,Explore Rear Paddock Stand with Swing Arm Rest (Orange),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,66,65,108,154.44,6.48,154.44,24400
202507,BoxFast,BFX47338291389X,1,48hs,Raida CoolSkin Balaclava,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,54,39,11,7.72,16.32,16.32,4300
202507,BoxFast,BFX42525511699X,3,24hs,"AmazonBasics Glove with Protective Padding for Cycling, Riding, Camping and Gym, Set of 2, M",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,55,46,8,6.75,7.12,7.12,5600
202507,BoxFast,BFX47692399547X,1,48hs,8 mm Car Plastic Screw Fasteners for Car Bumper Mudguard (20),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,29,65,116,72.89,26.99,72.89,12600
202507,BoxFast,BFX43816284111X,3,72hs,"Yamaha Tank Pad for FZ-Fi / FZ-S Fi- black, Pack of 1",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,12,42,25,4.2,5.82,5.82,3700
202507,BoxFast,BFX40550700682X,1,48hs,NIKAVI Black Seamless Skull Face Tube Mask - Pack (2),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,67,73,120,195.64,4.7,195.64,12600
202507,BoxFast,BFX47617513495X,1,48hs,Allextreme ‎AEBAN05 Unisex Seamless Bandana Multi Wear Headband Face Mask Cover with Printed Patterns for Dust & Wind Prot...,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,107,52,38,70.48,0.46,70.48,12600
202507,BoxFast,BFX49393134157X,3,24hs,AUTOPOWERZ® KTM Duke Indicator Yellow Light Compatible for KTM 125/200/250/390 Duke RC (Unbreakable Light (Pack of 4),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,9,59,47,8.32,5.54,8.32,5600
202507,BoxFast,BFX46291473000X,2,24hs,"Studds Expanded Polystyrene and Thermoplastic Urban Open Face Helmet (Black, X-Large)",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,104,63,8,17.47,5.77,17.47,6750
202507,BoxFast,BFX41582099721X,2,72hs,Vega Bolt Black Helmet-M,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,100,51,114,193.8,2.42,193.8,13100
202507,BoxFast,BFX47376812260X,1,72hs,CreativeDesignz-Waterproof Full Body Bike Cover for Splendor & Hero Blue Jungle,car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,34,5,46,2.61,26.05,26.05,4800
202507,BoxFast,BFX43791612740X,1,48hs,"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...",car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,77,35,24,21.56,23.42,23.42,5050
202507,BoxFast,BFX47593347066X,1,72hs,NEXTON All Season Protection Dustproof and Water Resistant Bike Cover for Royal-Enfield Bullet 350 (Military),car & motorbike,Motorbike Accessories & Parts,Motorbike_accesories,21,13,61,5.55,7.71,7.71,2400
